DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-06-06 01:15:16.388,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51938,,104.43.237.169,443,https
2016-06-06 01:15:17.367,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.43.237.169,137,netbios-ns
2016-06-06 07:46:32.364,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52320,,a23-74-86-135.deploy.static.akamaitechnologies.com,80,http
2016-06-06 12:16:33.538,C:\Windows\System32\backgroundTaskHost.exe,,tcp,local,52590,,a23-214-189-226.deploy.static.akamaitechnologies.com,443,https
2016-06-06 12:21:04.706,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52597,,157.56.77.138,443,https
2016-06-06 12:21:05.525,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,157.56.77.138,137,netbios-ns
2016-06-06 12:46:32.548,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52614,,a88-221-117-72.deploy.akamaitechnologies.com,80,http
2016-06-06 14:16:32.550,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52695,,2.18.213.58,80,http
2016-06-06 14:16:33.491,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,2.18.213.58,137,netbios-ns
2016-06-06 15:16:32.582,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52753,,2.18.213.40,80,http
2016-06-06 15:16:32.777,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,2.18.213.40,137,netbios-ns
2016-06-06 15:46:32.675,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52789,,a92-122-152-223.deploy.akamaitechnologies.com,80,http
2016-06-06 16:16:32.642,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52807,,a92-122-51-58.deploy.akamaitechnologies.com,80,http
2016-06-06 16:17:05.415,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52820,,131.253.61.82,80,http
2016-06-06 16:23:46.846,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52834,,157.56.96.58,443,https
2016-06-06 16:23:47.721,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,157.56.96.58,137,netbios-ns
2016-06-06 16:24:26.227,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52867,,cds840.lon.llnw.net,80,http
2016-06-06 16:24:35.248,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,52868,,131.253.61.66,80,http
2016-06-06 16:24:35.468,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,52869,,131.253.61.66,443,https
2016-06-06 16:24:36.165,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.66,137,netbios-ns
2016-06-06 18:16:32.846,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,52984,,2.21.137.175,80,http
2016-06-06 18:16:33.621,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,2.21.137.175,137,netbios-ns
2016-06-06 19:16:32.737,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,53038,,a23-2-118-135.deploy.static.akamaitechnologies.com,80,http
2016-06-06 20:46:32.805,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,53118,,2.19.182.135,80,http
2016-06-06 20:46:33.715,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,2.19.182.135,137,netbios-ns
