DATE,EXE,PID,ACCOUNT,HOST
2016.06.04 22:45:29,svchost.exe,816,System,fe2.update.microsoft.com
2016.06.04 22:45:29,svchost.exe,816,System,fe2.update.microsoft.com
2016.06.04 22:45:29,svchost.exe,816,System,fe2.update.microsoft.com
2016.06.04 22:45:29,svchost.exe,816,System,fe2.update.microsoft.com
2016.06.04 22:45:30,svchost.exe,816,System,fe2.update.microsoft.com
2016.06.04 22:45:32,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:46:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:46:53,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:47:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:47:50,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:47:50,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:47:50,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:47:50,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:47:50,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:02,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:48:16,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:19,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:48:34,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:49:00,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:49:19,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:49:21,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:49:21,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:49:21,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:04,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
