HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
,,,,2017-10-08,lvlt.thesims3.com
,,,,2017-09-09,au.download.windowsupdate.com
,,,,2017-09-06,3.download.windowsupdate.com
68.232.34.240,12,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,2018-01-13,wu.azureedge.net
,,,,2018-01-12,wu.wpc.apr-52dd2.edgecastdns.net
,,,,2018-01-12,assets1.xboxlive.com
,,,,2017-12-10,11.au.download.windowsupdate.com
,,,,2017-12-07,2-01-3cf7-0009.cdx.cedexis.net
,,,,2017-11-19,otn.samsungcloudcdn.com
,,,,2017-11-11,download.windowsupdate.com
,,,,2017-11-10,www.download.windowsupdate.com
,,,,2017-09-26,tgtest.cedexis-test.com
,,,,2017-09-06,au.download.windowsupdate.com
,,,,2015-03-20,cs12ne.wpc.v0cdn.net
,,,,2014-11-26,cs12.wpc.v0cdn.net
,,,,2014-11-19,cs7.wpc.v0cdn.net
93.184.220.29,17,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,2018-02-24,cannon-construction.co.uk
,,,,2018-01-13,statusa.digitalcertvalidation.com
,,,,2017-12-25,cacerts.geotrust.com
,,,,2017-12-21,93.184.220.29
,,,,2017-12-18,cdp.geotrust.com
,,,,2017-12-15,statusd.digitalcertvalidation.com
,,,,2017-12-14,statusg.digitalcertvalidation.com
,,,,2017-12-09,cacerts.rapidssl.com
,,,,2017-12-05,status.thawte.com
,,,,2017-12-02,status.geotrust.com
,,,,2017-11-22,content.digicert.com
,,,,2017-11-15,status.rapidssl.com
,,,,2017-10-23,edge3.digicert.com
,,,,2017-10-15,edge1.digicert.com
,,,,2017-09-06,ocspx.digicert.com
,,,,2015-04-02,cs9.wac.phicdn.net
,,,,2014-09-15,cs9.wac.edgecastcdn.net
,,,,2013-08-15,crl3.digicert.com
,,,,2013-06-13,ocsp.digicert.com
,,,,2013-04-20,cacerts.digicert.com
,,,,2012-08-10,digicert.com
93.184.221.200,4,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,2017-01-01,www.forudropship.com
,,,,2016-12-31,www.john-tools.com
,,,,2016-12-31,www.idrfidtag.com
,,,,2016-12-30,www.sinolandmedical.com
,,,,2016-12-30,www.chinachain-hoists.com
,,,,2016-12-29,www.shopcabinets8.com
,,,,2016-12-23,www.dgfcejm.com
,,,,2016-12-21,www.dfautopart.com
,,,,2016-12-21,www.aprilcn.com
,,,,2016-12-17,www.jxeasydrivepin.com
,,,,2016-12-17,www.saivs-machinery.com
,,,,2016-12-16,www.maxlasers.com
,,,,2016-12-15,www.chinakneesupport.com
,,,,2016-12-12,www.szvideobrochure.com
,,,,2016-12-11,www.sasametal.com
,,,,2016-12-11,miharanaoki.com
,,,,2016-12-10,www.ntecmonofil.com
,,,,2016-12-08,cngcpv.com
,,,,2016-12-01,www.ydget.com
,,,,2016-11-25,videos-cdn.registration4all.com
,,,,2016-11-22,imgalc.azureedge.net
,,,,2016-11-20,www.swimdivinggear.com
,,,,2016-11-19,www.newsunlightrooftile.com
,,,,2016-11-19,www.hzhualong.net
,,,,2016-11-16,www.fault-indicator.com
,,,,2016-11-14,www.china-aluminum-window.com
,,,,2016-11-11,powercodecdn.azureedge.net
,,,,2016-11-11,az745087.vo.msecnd.net
,,,,2016-11-11,d5.computerbild.de
,,,,2016-10-19,resources.pcgenome.prodenv6.mysoluto.com
,,,,2016-10-03,az452423.vo.msecnd.net
,,,,2016-04-28,cdn.fotoable.com
,,,,2016-04-13,az745193.vo.msecnd.net
,,,,2016-04-08,cdn.kingstone.com.tw
,,,,2016-04-07,d3.computerbild.de
,,,,2016-04-07,installepicscale.azureedge.net
,,,,2016-04-07,d4.computerbild.de
,,,,2016-04-07,natick.research.microsoft.com
,,,,2016-04-07,az777500.vo.msecnd.net
,,,,2016-04-07,walkmaxxsk.azureedge.net
,,,,2016-04-07,cdn.briandesmond.com
,,,,2016-04-07,dsewebs.azureedge.net
,,,,2016-04-07,az412542.vo.msecnd.net
,,,,2016-04-06,omicroncdn.com
,,,,2016-04-05,az745681.vo.msecnd.net
,,,,2016-03-24,storysift.news
,,,,2016-02-09,hym.albinass.com
,,,,2016-02-09,az416426.vo.msecnd.net
,,,,2016-01-06,contents.elephantbar.com
,,,,2015-04-22,cs13.wpc.v0cdn.net
93.184.221.240,10,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,2018-01-13,2-01-3cf7-0009.cdx.cedexis.net
,,,,2018-01-13,wu.ec.azureedge.net
,,,,2018-01-12,cs11.wpc.v0cdn.net
,,,,2017-12-05,11.au.download.windowsupdate.com
,,,,2017-11-19,otn.samsungcloudcdn.com
,,,,2017-11-10,www.download.windowsupdate.com
,,,,2017-11-10,download.windowsupdate.com
,,,,2017-10-09,assets2.xboxlive.com
,,,,2017-09-26,tgtest.cedexis-test.com
,,,,2017-09-07,au.download.windowsupdate.com
,,,,2015-03-31,cs11ne.wpc.v0cdn.net
111.221.29.253,1,AS8075 Microsoft Corporation,HK,2018-02-23,hk2.settings.data.microsoft.com.akadns.net
,,,,2017-11-21,settings.data.microsoft.com
,,,,2016-10-03,bn2.settings.data.microsoft.com.akadns.net
,,,,2016-08-01,asimov-win.settings.data.microsoft.com.akadns.net
,,,,2016-04-02,onesettings-hk2.metron.live.com.nsatc.net
,,,,2015-11-03,settings-win.data.microsoft.com
134.170.51.190,40,AS8075 Microsoft Corporation,US,2018-02-07,fe2.update.microsoft.com.akadns.net
,,,,2018-01-04,fe2.update.microsoft.com.nsatc.net
,,,,2017-09-05,fe2.update.microsoft.com
,,,,2017-03-02,fe1.update.microsoft.com.akadns.net
,,,,2017-01-03,134.170.51.190
,,,,2015-03-07,fe1.update.microsoft.com
,,,,2014-06-16,update.microsoft.com
134.170.51.246,29,AS8075 Microsoft Corporation,US,2017-11-24,fe2.update.microsoft.com.nsatc.net
,,,,2015-11-26,fe2.update.microsoft.com
134.170.51.247,29,AS8075 Microsoft Corporation,US,2018-01-04,fe2.update.microsoft.com
,,,,2017-09-15,fe2.update.microsoft.com.nsatc.net
134.170.58.118,24,AS8075 Microsoft Corporation,US,2017-11-23,fe2.update.microsoft.com
,,,,2017-06-07,fe2.update.microsoft.com.nsatc.net
,,,,2017-01-06,fe2.update.microsoft.com.akadns.net
,,,,2016-11-13,fe1.update.microsoft.com
,,,,2016-11-04,fe1.update.microsoft.com.akadns.net
134.170.58.121,8,AS8075 Microsoft Corporation,US,2017-11-26,fe2.update.microsoft.com.akadns.net
,,,,2017-06-20,fe2.update.microsoft.com
,,,,2017-03-07,fe1.update.microsoft.com.akadns.net
,,,,2016-08-07,fe2.update.microsoft.com.nsatc.net
,,,,2015-03-07,fe1.update.microsoft.com
134.170.58.123,36,AS8075 Microsoft Corporation,US,2018-02-24,fe2.update.microsoft.com.nsatc.net
,,,,2018-02-12,fe2.update.microsoft.com
,,,,2017-12-14,fe2.update.microsoft.com.akadns.net
,,,,2016-07-28,fe1.update.microsoft.com.akadns.net
,,,,2015-04-27,fe1.update.microsoft.com
134.170.58.189,34,AS8075 Microsoft Corporation,US,2018-02-06,fe2.update.microsoft.com.nsatc.net
,,,,2017-11-13,fe2.update.microsoft.com.akadns.net
,,,,2017-09-14,fe2.update.microsoft.com
,,,,2016-12-17,fe1.update.microsoft.com.akadns.net
,,,,2015-07-29,fe1.update.microsoft.com
134.170.58.190,4,AS8075 Microsoft Corporation,US,2016-09-01,fe2.update.microsoft.com.nsatc.net
,,,,2015-04-13,fe2.update.microsoft.com.akadns.net
,,,,2015-04-09,fe2.update.microsoft.com
134.170.165.248,22,AS8075 Microsoft Corporation,US,2018-02-22,fe2.update.microsoft.com.akadns.net
,,,,2017-11-13,fe2.update.microsoft.com.nsatc.net
