HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
,,,,2016-09-30,api.accuweather.com
23.211.149.25,10,AS16625 Akamai Technologies. Inc.,NL,,a23-211-149-25.deploy.static.akamaitechnologies.com
23.223.220.91,22,AS16625 Akamai Technologies. Inc.,NL,,a23-223-220-91.deploy.static.akamaitechnologies.com
23.223.224.178,205,AS16625 Akamai Technologies. Inc.,NL,,a23-223-224-178.deploy.static.akamaitechnologies.com
31.13.64.11,5,AS32934 Facebook. Inc.,IE,,edge-mqtt-shv-01-amt2.facebook.com
,,,,2015-08-23,f3f9c700480kvzdg55i-ukycbqwb1414874068-sonar.xx.fbcdn.net
,,,,2015-08-19,f4f93936980kitr35by-muonphbb1415240790-sonar.xx.fbcdn.net
,,,,2015-08-18,f8c6054bd80kiqbldvi-zwvaaird1415227431-sonar.xx.fbcdn.net
,,,,2015-08-12,f5b670de380kdno4pyq-xqgkdocw1439364430-sonar.xz.fbcdn.net
,,,,2015-07-09,f254d970a80kitsezoi-gvhfufsj1415130551-sonar.xx.fbcdn.net
,,,,2015-07-09,f060ea3c580kiqewifi-womhxyto1415056180-sonar.xx.fbcdn.net
,,,,2015-07-09,f2bf5503f80kvzdhspi-ybztalpe1415222280-sonar.xx.fbcdn.net
,,,,2015-06-24,f9818283780ki26dalq-qcksmpop1415129880-sonar.xx.fbcdn.net
,,,,2015-06-17,f35daf45c80kirsubqq-tvaqsgny1414846256-sonar.xx.fbcdn.net
,,,,2015-06-16,f9eb3392280kl3f5pii-oldjpzjm1413747645-sonar.xx.fbcdn.net
,,,,2015-06-14,f93adb88580kiqd3gxq-cxljwrhf1414948778-sonar.xx.fbcdn.net
,,,,2015-06-14,f49c3c6a280kmkwlrka-fwtlorio1415304507-sonar.xx.fbcdn.net
,,,,2015-06-13,f426a555680kodidqua-pektbkxp1414984774-sonar.xx.fbcdn.net
,,,,2015-06-13,f41ce807a80ki2ratma-pnpytahw1415152365-sonar.xx.fbcdn.net
,,,,2015-06-05,f3e6dd22380kmky4ari-xaurkucl1414890631-sonar.xx.fbcdn.net
,,,,2015-06-04,f3b37dd4e80kld32egq-hhdvmatv1415176509-sonar.xx.fbcdn.net
,,,,2015-06-02,fa26d7f9980kmktveti-eqmuuaej1415214350-sonar.xx.fbcdn.net
,,,,2015-06-02,f33e9574080kqralswa-oqjszixl1403956686-sonar.xx.fbcdn.net
,,,,2015-06-02,f4a29857980kirqdiey-awayepwl1414906718-sonar.xx.fbcdn.net
,,,,2015-06-01,f84f6cbfc80kaujem2i-ahtyyump1415098196-sonar.xx.fbcdn.net
,,,,2015-06-01,f10bd132980kdd7qhni-ninnazli1415226148-sonar.xx.fbcdn.net
,,,,2015-06-01,f57a3619a80kirtbibi-debwkima1414811203-sonar.xx.fbcdn.net
,,,,2015-06-01,f4f0ff3b280ki23qnci-dvvdeiao1414804093-sonar.xx.fbcdn.net
,,,,2015-05-31,f6af7330e80kirwu4la-tbpvguqo1415157768-sonar.xx.fbcdn.net
,,,,2015-05-31,f53e4262c80kirvzvsa-hywjpfre1415193080-sonar.xx.fbcdn.net
,,,,2015-05-31,f1502c67080kirtgs4a-tdsjjmfq1414902696-sonar.xx.fbcdn.net
,,,,2015-05-31,fb73bbe4080kirt2ldi-pvapyebu1415288901-sonar.xx.fbcdn.net
,,,,2015-05-18,fa60aa92680ki4lizmq-pzgwbars1415056163-sonar.xx.fbcdn.net
,,,,2015-05-15,f0916f0bc80kiqe34xq-dazsakpa1414985423-sonar.xx.fbcdn.net
,,,,2015-05-14,f1a95aebf80ki2xl7aq-uxlspxcx1415300048-sonar.xx.fbcdn.net
,,,,2015-05-11,f410c253480kjdfjhra-vvnyyytk1415112621-sonar.xx.fbcdn.net
,,,,2015-05-11,f3a956e7080kmk5lvpa-nicjrkmd1415042979-sonar.xx.fbcdn.net
,,,,2015-05-10,f110516cb80kdceck6y-jestgjze1415241752-sonar.xx.fbcdn.net
,,,,2015-05-05,f745e1bb980kiqb4mni-voulpgua1414888906-sonar.xx.fbcdn.net
,,,,2015-04-21,f1cc4943080kvzc4rly-msapkcfq1415160744-sonar.xx.fbcdn.net
,,,,2015-04-21,f1e7c2a3f80kirvnn6y-cmfermyt1414850359-sonar.xx.fbcdn.net
,,,,2015-04-21,f3050ef5480kirwljea-zzkvlxxw1415062288-sonar.xx.fbcdn.net
,,,,2015-04-20,f4c6b5d2980kiqb6iry-bfcaiaxw1415141727-sonar.xx.fbcdn.net
,,,,2015-04-15,f1abc065c80kirwl4by-lgxrsmib1414958104-sonar.xx.fbcdn.net
,,,,2015-04-15,fa79b729680kirvie3q-vtoyaeep1415157999-sonar.xx.fbcdn.net
,,,,2015-04-15,f900a2b5680kjdaoyvi-eutmxopk1414872375-sonar.xx.fbcdn.net
,,,,2015-04-11,sphotos-b.xx.fbcdn.net
,,,,2015-03-27,f682b0a0780kmk2smpq-xzfalwmh1414900600-sonar.xx.fbcdn.net
,,,,2015-03-27,scontent-d.xx.fbcdn.net
,,,,2015-03-22,f1f8f005380kittkdry-ihkdegjv1415046004-sonar.xx.fbcdn.net
,,,,2015-03-19,f3c703c5c80kjdaxgei-gannrmgv1415024053-sonar.xx.fbcdn.net
,,,,2015-03-19,sphotos-a.xx.fbcdn.net
,,,,2015-03-19,fe3afa2b180ki2zzupy-aqekcfij1414853104-sonar.xx.fbcdn.net
,,,,2015-03-16,sonar-ams.xx.fbcdn.net
,,,,2015-03-13,sphotos-b-ams.xx.fbcdn.net
31.13.91.1,38,AS32934 Facebook. Inc.,IE,,edge-mqtt-shv-01-ams3.facebook.com
31.13.92.5,171,AS32934 Facebook. Inc.,IE,,edge-mqtt-shv-01-frt3.facebook.com
31.13.92.33,35,AS32934 Facebook. Inc.,IE,,edge-mqtt-mini-shv-01-frt3.facebook.com
31.13.93.2,271,AS32934 Facebook. Inc.,IE,,edge-mqtt-shv-01-fra3.facebook.com
40.77.226.249,608,AS8075 Microsoft Corporation,IE,,
40.77.226.250,823,AS8075 Microsoft Corporation,IE,2017-03-02,db5.vortex.data.microsoft.com.akadns.net
40.118.106.130,12,AS8075 Microsoft Corporation,NL,,
52.164.240.59,226,AS8075 Microsoft Corporation,IE,,
52.169.89.156,144,AS8075 Microsoft Corporation,IE,,
52.178.147.240,137,AS8075 Microsoft Corporation,IE,,
52.178.151.212,212,AS8075 Microsoft Corporation,IE,,
52.178.223.23,4,AS8075 Microsoft Corporation,IE,,
52.187.60.107,4,AS8075 Microsoft Corporation,SG,,
62.115.249.137,9736,AS1299 Telia Company AB,EU,2016-08-24,redir.metaservices.microsoft.com
64.4.27.50,284,AS8075 Microsoft Corporation,US,2017-02-17,fe1.ws.microsoft.com.nsatc.net
,,,,2017-01-24,fe2.ws.microsoft.com
,,,,2017-01-09,fe2.ws.microsoft.com.nsatc.net
64.4.54.22,641,AS8075 Microsoft Corporation,US,,msnbot-64-4-54-22.search.msn.com
,,,,2017-03-02,statsfe2.ws.microsoft.com.nsatc.net
,,,,2017-02-25,statsfe2.ws.microsoft.com
,,,,2017-02-10,stats.update.microsoft.com.nsatc.net
,,,,2016-09-14,statsfe2.update.microsoft.com.akadns.net
,,,,2016-08-22,statsfe2.update.microsoft.com
64.233.166.108,130,AS15169 Google Inc.,US,,wm-in-f108.1e100.net
,,,,2014-10-19,gmail-smtp-msa.l.google.com
,,,,2014-10-17,imap.gmail.com
